,type,title,year,month,id,genre,score,directores,guionistas,actores,resumen,sinopsis,duracion
0,movie,Mom's Coming,2024.0,11.0,tt10579986,Drama,,['Rishiking'],['Rishiking'],['Byom'],"Un alma supuestamente tiene como hija a una chica de 20 años, a la que quiere llevarse con ella, y la hermana mayor quiere impedir que el alma lo haga.",,122.0
1,movie,Love Song and Power,2024.0,1.0,tt10597228,Drama,,"['Erik Krefeld', 'Eddel Martinez']","['Stevie Kinchen', 'Erik Krefeld']","['Aaron Jackson', 'Rose LaRue', 'Cassidy Reyes']",Esta es una historia sobre encontrar el valor para ser uno mismo.,,90.0
2,movie,Spaceman,2024.0,3.0,tt11097384,Drama,5.7,['Johan Renck'],"['Jaroslav Kalfar', 'Colby Day']","['Adam Sandler', 'Carey Mulligan', 'Paul Dano']","Jakub Procházka, huérfano y criado en el campo por sus abuelos, supera todas las adversidades y se convierte en el primer astronauta del país.","Czech astronaut Jakub Prochazka (Adam Sandler) is six months into a solo space mission to investigate a mysterious cloud of dust and particles, called Chopra, lying beyond Jupiter. The cloud appeared 4 years ago, and Jakub's mission is to collect samples of the cloud and return to Earth.The Czech mission has arrived shortly before the South Korean astronauts to the post, being the first to launch to explore Chopra. Jakub struggles with loneliness and misses his wife, Lenka (Carey Mulligan), who has recently stopped talking with him after he left her and their unborn daughter behind to go on the mission.Lenka sends him a message telling him that she wants to leave him, but Commissioner Tuma (Isabella Rossellini), Jakub's commanding officer, prevents it from reaching him, to prevent Jakub's mental state from worsening.
Jakub is already having sleepless nights on the spacecraft and is under increasing stress to meet mission objectives despite the spacecraft not working as designed. Jakub tells Peter that he cannot sleep as the toilet keeps making a noise all night, but Peter says that fixing other parts of the ship are a higher priority. Half the cameras on the ship are malfunctioning.
Peter is Jakub's friend and knew that Lenka was planning to leave him. He tells Jakub that she has just gone to visit her mother and is hence unreachable.Days later, still without news from Lenka, Jakub finds a spider-like creature with telepathic abilities inside a compartment of the ship. Jakub locks himself in the airlock and releases Decontaminants in the ship, but they do not affect the spider. The spider assures Jakub that he would neither consume nor contaminate him.
The creature, whom Jakub names Hanus (Paul Dano), wishes to understand humans better and to help Jakub with his loneliness.
Jakub does reveal the existence of Hanus to Peter or anybody else in mission control. Hanus says that he is an explorer who came to the solar system and felt the pull of humans. He studied Earth from orbit and learned its languages. Hanus then encountered Jakub's ship and came to meet him.
Slowly, Jakub gets used to Hanus's presence. Hanus wants to eat eggs, but Jakub doesn't have any as they don't preserve well. Hanus says that he fled his planet after it was attacked by Gorompeds. He traveled through galaxies and black-holes to reach the Milky Way.Hanus has the ability to access Jakub's memories, where he learns about Lenka, how they met, their early courtship and so on.
Exploring his memories, Hanus learns more about Jakub: his father was an informant of the Communist Party of Czechoslovakia and was killed when Jakub was young. Jakub was being raised by his father to be a pig farmer, but his dreams got bigger after his father's death. He met Lenka, but often neglected her, being more focused on his career as a cosmonaut, going as far as leaving her when she suffered a miscarriage.
Hanus is intrigued to understand that Jakub chose to leave his planet and yet space is destructive to him. Hanus understands that Jakub hopes to atone for the sins of his father by completing this great mission successfully.
A grain of Chopra cloud enters the spacecraft when it is 45 hours away from the cloud, and Jakub learns that the grain cannot be captured by any material substance. His communications go offline till the grain is inside the spacecraft.After showing Jakub an implanted memory of the miscarriage, which Jakub was not present for, Hanus, disappointed with humanity (Jakub still did not return home to Lenka after she lost their first child), leaves the ship, leaving Jakub distressed.Jakub arranges with technician and good friend of his, Peter (Kunal Nayyar), to get him to deliver a message to Lenka, asking for forgiveness for his neglect. Hanus returns after this, revealing that he's dying due to a parasitic infection that wiped out his entire species.The two finally arrive at the Chopra cloud, which is revealed to be a leftover of the beginning of the universe and where every moment of time exists simultaneously. Hanus leaves to die in space, but Jakub goes after him.
Within the cloud, Jakub comes to the conclusion that he only wishes to be with his wife. Hanus passes away due to the infection.Jakub is picked up the South Korean space vessel. Jakub and Lenka talk again, coming to terms with their relationship.",107.0
3,movie,Amigos imaginarios,2024.0,5.0,tt11152168,Drama,6.4,['John Krasinski'],['John Krasinski'],"['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski']",Sigue a una niña que pasa por una experiencia difícil y entonces empieza a ver a los amigos imaginarios de todo el mundo que se han quedado atrás cuando sus amigos de la vida real han crecido.,"A 12 year old girl named Bea moves in with her grandmother Margaret while her father waits for heart surgery at the same hospital her mother had died at. One night, Bea buys a charger for her mother's camcorder and discovers a bizarre creature following it.The following day, Bea spots the creature again, but this time it is with a man. Bea follows them into a house and the man called Cal collects a giant, furry purple creature named Blue. Soon after, a butterfly type creature called Blossom reveals herself and Bea immediately passes out. She wakes up and Cal reveals that he has been working with IFs (Imaginary Friends) to give them to other children. Bea, originally skeptical decides to help Cal.The next day, Cal and Bea go to the 'memory lane retirement home', where IFs hang out underneath Coney Island. Cal introduces Bea to an elderly teddy bear named Lewis and he encourages Bea to use her imagination, much to Cals annoyance.Bea attempts to match one of the IFs to a young boy who she met called Benjamin. However, he is unable to see them, which just makes Bea even more unmotivated. Cal gives Bea the idea that IFs may not need new owners, but rather to be reunited with their old kids.Bea talks to Margaret and she shows her an old picture of her when she was younger and Bea recognizes Blossom in the background. Bea realizes that Blossom was her grandmothers IF and she decides to play one of Margaret's old records and encourages her to dance and she remembers Blossom. Bea regains hope.Following clues, Bea, Cal and Blue discover Blues original owner, a man called Jeremy, who is now all grown up and trying to launch his own business. After an initial failure, Bea and Cal successfully remind Jeremy of Blue and the duo reconcile. Later that night, Bea returns home and receives bad news from Margaret that her father's operation went wrong and Bea rushes upstairs and becomes comforted by Cal. Cal then tells Bea to go to the hospital and tell him a story, so Bea heads to her father and he keeps trying to have fun with her, while she tries to be grown up and that she still needs him, which ultimately awakens him. Bea goes to tell her mother the good news, but she realizes all the IFs have gone.Bea goes up to thank Cal, but no one answers. The local landlady reveals that the door she was trying to open, leads to an old storage compartment room. Beas father is released from hospital and they return home. Whilst packing up the car, Bea sees a picture of a clown named Calvin and she realizes that Cal is her own IF, which she had forgotten after the death of her mother. Bea closes her eyes and remembers all of the IFs and ultimately reunites with Cal. Margaret asks Blossom if they should go inside, revealing that she can see her.Later, Cal reunites the IFs with all of their original kids, now all grown up and Benjamin meets his IF, a dragon with glasses. Bea and her father return home and her father trips over his own IF, an invisible friend.",104.0
4,movie,Manje Bistre 3,2024.0,7.0,tt11822244,Drama,8.8,['Baljit Singh Deo'],['Rana Ranbir'],"['Karamjit Anmol', 'Raghveer Boli', 'Raaf Chaudhary']",Revolves around the Punjabi wedding culture.,,
5,movie,Yi dao tian tang,2024.0,,tt12861438,Drama,,['Chao-Liang Huang'],"['Yinning Fu', 'Juexin Liu', 'Yuting Zhong']","['Yihong Duan', 'Pengyuan Shi', 'Beibi Gong']","Set in 2010s China, a criminal case has been seven years in suspending, an owner of a restaurant lost his loved ones in a crime case seven years ago, following the steps to capture the suspect he met a mysterious young man.",,
6,movie,Broken Glass,2024.0,2.0,tt13036100,Drama,,"['Neil Mikes', 'Hazel K.']","['Hazel K.', 'Neil Mikes']","['Chronox', 'Liara Deia', 'Gwyneth Irene']","Dylan meets Luna after many years since graduation, and soon they fall in love with each other, unaware of the obstacle that is about to come, changing their lives forever as secrets from Luna's past are also uncovered.",,
7,movie,Fără zgomot: Ziua 1,2024.0,6.0,tt13433802,Drama,6.3,['Michael Sarnoski'],"['Michael Sarnoski', 'John Krasinski', 'Bryan Woods']","[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff']","Sigue a una mujer mientras atraviesa los aterradores primeros minutos de la invasión alienígena en la ciudad más ruidosa del mundo, Nueva York.","Samira, a terminally ill cancer patient, lives at a hospice in New York City with her cat, Frodo. One day, Reuben, a care worker, convinces a reluctant Sam to join a group outing to Manhattan. During the trip, the group notice meteor-like objects crashing into the city. Shortly afterwards, hostile extraterrestrial creatures begin to attack people. In the ensuing chaos, Sam is knocked unconscious.Sam later wakes up inside a puppet theater with Frodo and other survivors. Everyone is quiet, and she is signaled by fellow survivor Henri to avoid making any noise. Announcements from overhead military helicopters warn civilians to stay silent and hidden until rescues can be made, with the bridges leading out of the city being bombed to prevent the creatures from leaving the island. One of the survivors begins to panic, which causes Henri to accidentally kill him in the process of calming him down.After Reuben is killed by a creature, a distraught Sam takes Frodo and leaves for Harlem. The military announces that boats are preparing to evacuate civilians from the south side of the city, with the creatures being unable to swim. Groups of people start leaving buildings towards the evacuation point, but the sheer volume of moving together in crowds alert the creatures, who attack them and cause a stampede. Sam flees in the opposite direction and is separated from Frodo.Eric, an English law student, encounters Frodo and follows him back to Sam. She attempts to convince him to go to the evacuation point, but Eric is shell-shocked and follows Sam back to her apartment instead, where she hopes to find pain medication. Sam and Eric later agree to travel together and narrowly avoid the creatures as they make their way to Harlem. Along the way, Eric gets Sam's medication for her from a nearby pharmacy. Sam tells him that, as a child, she used to watch her late father play jazz at a club and would get pizza with him at Patsy's afterwards; something Sam always wanted to do before she dies. Eric fulfills Sam's wish by taking her to the club, collecting pizza from another store, and performing a magic card trick to cheer her up.Later, Eric and Sam become aware of two boats nearby, filled with passengers preparing to escape. As the two leave together, creatures start to congregate nearby. Sam runs off to distract the creatures by smashing car windows while Eric, who is carrying Frodo, jumps into the water and is pulled up into a boat by Henri. He then finds a note in his jacket from Sam, telling Eric to continue taking care of Frodo and thanking him for reminding her to live.Sometime later, Sam walks into an empty street as she listens to ""Feeling Good"" via an iPod. Accepting her imminent fate, Sam smiles as she removes the earphones and lets the music blare just a creature appears behind her.",99.0
8,movie,Three Couples Freed,2024.0,1.0,tt13561128,Drama,,['Geoffrey Pheasant'],['Geoffrey Pheasant'],"['Tao Guo', 'Betty Faye', 'Aitana Llorente']",Three separate couples each decide to make some important decisions on the future of their relationships. Stumbling and searching they try to find their own alternative and drastic paths to happiness.,"Three Couples Freed's poetic cinematic vision takes the audience from the iconic sights of central London to the dim and hazy, yet beautiful time-worn Essex coastline. Back and forth the movie sublimely weaves its way deep into the lives of the three couples, each grappling with their emotions and thoughts of a life lost, desired, or perhaps deserved.Vincent and Emily Chen, middle-class Chinese business professionals whose relationship is under the strain and pressures of living a modern London experience, both feel the weight of traditional family expectations of managing financial success. Vincent puts his life on hold while being married to Emily, and decides to callously and psychologically manipulate his way to freedom.Caine and Maya, both 19 years old, awkwardly navigate their way through a doomed, tempestuous love affair - Maya is often frustrated when trying to positively steer her boyfriend Caine, a homeless petty criminal who wanders from one mate's sofa to the next, and from one cheap deal to the next. Maya's traditional Spanish family background forces her to see the reality of a relationship with a guy who is still reaching and searching for a sense of his own happiness and purpose.Reggie and Colleen are well and truly in the twilight years of their marriage - Colleen's years of gnawing away at Reggie's soul have left him alone and desperate to flee a life of never-ending belittling. Even at the age of 84, Reggie plots a brave but fragile leap for freedom and revenge.",85.0
9,movie,Fighter,2024.0,1.0,tt13818368,Drama,6.2,['Siddharth Anand'],"['Siddharth Anand', 'Ramon Chibb', 'Abbas Dalal']","['Hrithik Roshan', 'Deepika Padukone', 'Anil Kapoor']",Un joven con aspiraciones llamado Shamsher Pathania debe superar sus obstáculos tras alistarse en las Fuerzas Aéreas de la India para convertirse en un héroe de las Fuerzas Armadas indias.,"Maqsood Abrar (Mushtaq Kak) is a Jihadi from Jaish-E-Mohammed who confers with the Generals of ISI, who lament that India has brought terrorism under control in the Kashmir valley and destroyed years of planning in creating a network of eager young Jihadis willing to sacrifice their life for the cause of Kashmiri freedom.
Majeed Khan (Sanjeev Jaiswal) works for Maqsood and handles all logistics for Kashmir.In Srinagar, Jammu and Kashmir, a terrorist organization led by Azhar Akhtar (Rishabh Sawhney), plan to attack India, targeting the Srinagar Air Force Station base of the Indian Air Force. Azhar is an experienced terrorist with strikes against Indian Embassy in Kabul and the bombing of Mazir-I-Sharif. Azhar plans to use Indian kids for the mission, so that any Pakistani involvement in the attack cannot be proven.A Quick Response Team called ""Air Dragons"" is formed under the command of Group captain Rakesh ""Rocky"" Jai Singh (Anil Kapoor). This unit is designated to be the first responders to counter any threat In the Srinagar Valley. The unit consists of highly skilled and top combat aviators of the Air Force. The team includes Squadron Leaders Shamsher ""Patty"" Pathania (Hrithik Roshan), Minal ""Minni"" Rathore (Deepika Padukone), Sartaj ""Taj"" Gill (Karan Singh Grover), Basheer ""Bash"" Khan (Akshay Oberoi), Squadron Leader Rajan ""Unni"" Unnithan (Mahesh Shetty) and Sukhdeep ""Sukhi"" Singh (Baveen Singh). While Patty, Taj, Unni and Bash are from the Sukhoi 30 Fighter crew, Minni and Sukhi are helicopter pilots flying the Dhruv ALH.Saanchi (Sanjeeda Sheikh) is Taj's wife. Wing Commander Harish ""Nauty"" Nautiyal (Chandan K Anand) is Rocky's number 2.
One of the scenarios they train for is that Minni and Sukhi have to drop a commando team in enemy area and pick them up in 15 minutes. Taj and Patty have to provide air cover, while Rocky and Nauty will try to penetrate the air cover to shoot the helicopters down.
Rocky lures Patty away from the choppers, leaving only Taj to protect against Nauty. Patty manages to ""Kill"" Rocky using the cobra maneuver but fails the mission as Nauty gets through to the choppers. Rocky is livid with Patty since his mission was to protect the choppers and there could have been more than 2 enemy fighters.During training, the team members bond, and Minni develops romantic feelings for Patty. Minni's father Abhijeet (Ashutosh Rana) never approved of her Air Force career. He only wanted her to complete her studies and get married. Patty's father (Talat Aziz) lives in Jammu.However, Patty is haunted by his past after he lost his fiance (who was a chopper pilot) in a previous mission.
Azhar smuggles 200 Kgs of RDX into Srinagar through Majeed, which is captured by the forces. But this was part of his plan, and he gets a small amount captured to smuggle an even larger cache of RDX into Kashmir. The Pakistani air force moves 2 F-16 squadrons close to PoK, along with their own top fighter pilots, including ace Red Nose.
The team learn of an attack on CRPF soldiers in Pulwama, organized by Akhtar. 70 soldiers lost their lives and 80 are injured.In response, the Indian Air Force, along with RAW agent Zarina Begum, (Chandra Shekhar Dutta) plan a counterattack on Akhtar's base in Balakot. Patty is sent to Delhi with Air Commodore Debyajyoti ""Debu"" Biswas (Vinay Varma) to plan the strike. Pakistan is anticipating a Uri type of attack and is prepared to repel the same. Patty presents a plan to attack Jabba Top near Balakot, which an explosives training center for Jaish-E-Mohammad. 300 terrorists are being trained there and Azhar could also be there. The mission is planned from Gwalior air base and all Srinagar bases will remain inactive. The date is 25th Feb, when PM will be on a jungle safari and all senior IAF officers will be attending the farewell party of the Air Officer Commanding in Chief of Western Air Command (Sanjiv Chopra). The attack will involve 12 mirage and 2 Sukhoi aircraft.
Despite succeeding in the mission, the aftermath causes conflict between India and Pakistan. Azhar survives the attack. One F-16 manages to get in the air and tracks the 2 Sukhoi. The F-16 led by Red Nose gets a missile lock on Taj, but Patty gets a lock on the F-16 to get him to disengage and return to base.
The Pakistani Air Force launch a retaliatory attack on Indian base as a result.Despite Rocky's orders, Patty, Taj, and Bash cross the Indo-Pakistan border. Taj and Bash's plane is shot down by Pakistani pilots led by Red Nose leading to them getting captured. Patty was separated from them while chasing a bandit and is not able to reach them in time. Red Nose taunts Patty that he was not able to save Naina and now he lost Taj as well. Patty returns back to India in his Sukhoi.Rocky has Patty removed from the Air Dragons unit and he is posted as a flying instructor at the Air Force Academy in Hyderabad.
It is revealed to Minni by Rocky that he holds a grudge against Patty for letting his fiance, Squadron Leader Naina Jai Singh ""Enjay""(Seerat Mast) (revealed to be Rocky's younger sister), die in a previous rescue mission. Indian commandos were pinned down by enemy artillery fire. Naina was to rescue them, and Patty was flying cover for the chopper operations. Patty could not see the exact location of the enemy artillery. Rocky says that Patty knew that the mission was dangerous and yet he encouraged Naina to get close to enemy artillery positions to find their coordinates, which led to a shell hitting her chopper and her death.At the academy, Patty guides a trainee pilot named Neha to land her aircraft safely. She had panicked on her first solo flight due to strong cross winds.Patty whose mind is battling with the events of his past is dissatisfied with his life in the air force. He decides to put in his papers and leave the force. He shares his decision with his boss, the Chief Instructor of the Academy, Air Commodore Abhinder 'Abhi' Bali (Ramon Chibb). Bali tells him to take a break and go on Leave instead. That way he can have time to think his decision over.Patty goes back to his home in Jammu and reconnects with his colleagues at the base.The Pakistani government announce that they will be escorting Taj and Bash safely back to India. However, as the team wait for them to arrive, Sukhi (who had flown in a cargo helicopter to bring them back) tells Patty that Bash was brutally murdered by Akhtar and have imprisoned a badly injured Taj.Turns out Zarina Begum was a Pakistani double agent, who had betrayed India. Zarina reveals Taj's location to IAF, but then tells Azhar exactly when the Indian forces will be mounting an attack on their base. Pakistan shuts down their air space and activates their air assets to make it impossible for Indian Air Force to enter Pakistan.
Determined to rescue him, Patty defies orders and joins a covert mission. An IL-76 transports a team of commandos to Azhar's base. It also hides 2 Sukhoi fighters that cross into Pakistan by piggy backing on the IL-76's radar cross section.
As Pakistan scrambles fighters, the Sukhoi destroy the runways, so their fighters cannot take off from Kotli and Rawalakot. In another twist, Zarina turns out to be an Indian agent, who was misleading Azhar. Indian commandos reach Azhar's base much before expected.The commandos rescue Taj and Minni arrives in her chopper to pick them up. But Sukhi's chopper is shot down by Azhar. Meanwhile Red Nose arrives in the air and shoots down one Sukhoi. Minni is ordered to go back and rescue Sukhi.
Patty gets into the reserve Sukhoi and asks for permission to take off. Rocky allows Patty to go since he is the best fighter in the air and India needs him. Rocky joins Patty, and they take off and head into enemy territory to rescue their colleagues.
Patty engages with all Pak fighters and defeats them, including Red Nose, while Rocky goes to provide air cover to the commandos. Patty kills Red Nose by ramming his plane into the F-16 and escapes with parachute.Patty is able to rescue Taj by reaching Azhar's base. Patty saves Sukhi from being killed by Azhar and kills Akhtar instead. Minni brings her chopper around to pick up all the survivors and heads back to India.
In the end, Minni and Patty embrace, celebrating their victory.",166.0
